"","TransactionID","id_01","id_02","id_03","id_04","id_05","id_06","id_07","id_08","id_09","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_26","id_27","id_28","id_29","id_30","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_38","DeviceType","DeviceInfo"
"1",2987004,0,70787,NA,NA,NA,NA,NA,NA,NA,NA,100,"NotFound",NA,-480,"New","NotFound",166,NA,542,144,NA,NA,"",NA,NA,NA,"","New","NotFound","Android 7.0","samsung browser 6.2",32,"2220x1080","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile","SAMSUNG SM-G892A Build/NRD90M"
"2",2987008,-5,98945,NA,NA,0,-5,NA,NA,NA,NA,100,"NotFound",49,-300,"New","NotFound",166,NA,621,500,NA,NA,"",NA,NA,NA,"","New","NotFound","iOS 11.1.2","mobile safari 11.0",32,"1334x750","match_status:1",TRUE,FALSE,FALSE,TRUE,"mobile","iOS Device"
"3",2987010,-5,191631,0,0,0,0,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",121,NA,410,142,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"4",2987011,-5,221832,NA,NA,0,-6,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,176,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop",""
"5",2987016,0,7460,0,0,1,0,NA,NA,0,0,100,"NotFound",NA,-300,"Found","Found",166,15,529,575,NA,NA,"",NA,NA,NA,"","Found","Found","Mac OS X 10_11_6","chrome 62.0",24,"1280x800","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","MacOS"
"6",2987017,-5,61141,3,0,3,0,NA,NA,3,0,100,"NotFound",52,-300,"Found","Found",166,18,529,600,NA,NA,"",NA,NA,NA,"","Found","Found","Windows 10","chrome 62.0",24,"1366x768","match_status:2",TRUE,FALSE,TRUE,TRUE,"desktop","Windows"
"7",2987022,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NotFound",14,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","","",NA,"","",NA,NA,NA,NA,"",""
"8",2987038,0,31964,0,0,0,-10,NA,NA,0,0,100,"Found",NA,-300,"Found","Found",166,15,352,533,NA,NA,"",NA,NA,NA,"","Found","Found","Android","chrome 62.0",32,"1920x1080","match_status:2",TRUE,FALSE,TRUE,TRUE,"mobile",""
"9",2987040,-10,116098,0,0,0,0,NA,NA,0,0,100,"NotFound",52,NA,"Found","Found",121,NA,410,142,NA,NA,"",NA,NA,NA,"","Found","Found","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
"10",2987048,-5,257037,NA,NA,0,0,NA,NA,NA,NA,100,"NotFound",52,NA,"New","NotFound",225,NA,484,507,NA,NA,"",NA,NA,NA,"","New","NotFound","","chrome 62.0",NA,"","",FALSE,FALSE,TRUE,TRUE,"desktop","Windows"
